intervention,id_engagement_engin,victime,commune,categorie,id_engin,duree_engin_sur_intervention,heure,jour,,,,
3307981,210,0,GENNEVILLIERS,SECOURS A PERSONNE,5088,5393,4,mardi,,,,
937980,211,1,9EME ARRONDISSEMENT,SECOURS A PERSONNE,5293,2350,4,mardi,,,,
9037980,212,0,12EME ARRONDISSEMENT,SECOURS A PERSONNE,5349,79809,4,mardi,,,,
4477983,213,1,MONTREUIL,SECOURS A PERSONNE,5348,4733,6,mardi,,,,
3417983,214,1,5EME ARRONDISSEMENT,ACCIDENT,5350,5234,6,mardi,,,,
7987979,215,1,MAUREGARD,SECOURS A PERSONNE,1570,6001,19,lundi,,,,
4997980,216,1,TREMBLAY-EN-FRANCE,SECOURS A PERSONNE,1571,3074,15,lundi,,,,
6597981,217,0,FRESNES,INCENDIE,2497,79816,6,mardi,,,,
6597981,218,0,FRESNES,INCENDIE,2497,3477,6,mardi,,,,
1597980,219,1,BOURG-LA-REINE,SECOURS A PERSONNE,3658,5756,18,lundi,,,,
4777981,220,1,FRESNES,SECOURS A PERSONNE,4239,5840,18,lundi,,,,
9907979,221,0,12EME ARRONDISSEMENT,SECOURS A PERSONNE,4288,79799,0,mardi,,,,
9907979,222,0,12EME ARRONDISSEMENT,SECOURS A PERSONNE,4288,1899,0,mardi,,,,
807980,223,1,AUBERVILLIERS,SECOURS A PERSONNE,3892,9321,18,lundi,,,,
6167980,224,0,AULNAY-SOUS-BOIS,ACCIDENT,3974,1855,18,lundi,,,,
6787980,225,1,16EME ARRONDISSEMENT,SECOURS A PERSONNE,4042,3886,20,lundi,,,,
9117980,226,1,16EME ARRONDISSEMENT,SECOURS A PERSONNE,4042,3033,4,mardi,,,,
9137982,227,1,16EME ARRONDISSEMENT,SECOURS A PERSONNE,4042,3095,5,mardi,,,,
1827980,228,1,AUBERVILLIERS,SECOURS A PERSONNE,4044,2998,10,lundi,,,,
117980,229,0,18EME ARRONDISSEMENT,Autres,4691,6075,11,lundi,,,,
9507980,230,1,19EME ARRONDISSEMENT,SECOURS A PERSONNE,4965,3986,20,lundi,,,,
9307979,231,1,19EME ARRONDISSEMENT,SECOURS A PERSONNE,4965,2569,21,lundi,,,,
9307980,232,1,9EME ARRONDISSEMENT,SECOURS A PERSONNE,4208,5033,12,lundi,,,,
5677981,233,1,THIAIS,SECOURS A PERSONNE,2971,3231,13,lundi,,,,
5877981,234,1,BOBIGNY,SECOURS A PERSONNE,2623,3140,17,lundi,,,,
5387980,235,1,VILLEJUIF,SECOURS A PERSONNE,2971,4184,16,lundi,,,,
8287979,236,1,NOISY-LE-SEC,SECOURS A PERSONNE,4041,3039,2,mardi,,,,
7207980,237,1,NOISY-LE-SEC,SECOURS A PERSONNE,4041,3395,21,lundi,,,,
2727980,238,1,BONDY,ACCIDENT,2360,4440,9,lundi,,,,
3167980,239,0,BOULOGNE-BILLANCOURT,Autres,2459,3682,10,lundi,,,,
777981,240,0,BAGNEUX,SECOURS A PERSONNE,4275,1859,17,lundi,,,,
5747980,241,0,ANTONY,Autres,4275,2712,17,lundi,,,,
1907981,242,0,8EME ARRONDISSEMENT,Autres,2581,961,2,mardi,,,,
2947981,243,1,7EME ARRONDISSEMENT,SECOURS A PERSONNE,2581,1184,4,mardi,,,,
2747980,244,1,13EME ARRONDISSEMENT,SECOURS A PERSONNE,2587,2873,9,lundi,,,,
1307981,245,1,COLOMBES,SECOURS A PERSONNE,4005,3908,11,lundi,,,,
4567980,246,0,NOGENT-SUR-MARNE,INCENDIE,4320,7809,14,lundi,,,,
4557980,247,1,NOISY-LE-GRAND,SECOURS A PERSONNE,3893,5226,14,lundi,,,,
4677980,248,1,20EME ARRONDISSEMENT,SECOURS A PERSONNE,2317,2675,14,lundi,,,,
6187980,249,1,20EME ARRONDISSEMENT,SECOURS A PERSONNE,4066,3476,18,lundi,,,,
667980,250,1,3EME ARRONDISSEMENT,SECOURS A PERSONNE,4045,3529,1,mardi,,,,
9267979,251,1,11EME ARRONDISSEMENT,SECOURS A PERSONNE,1439,4287,21,lundi,,,,
3717981,252,1,15EME ARRONDISSEMENT,SECOURS A PERSONNE,3755,5747,13,lundi,,,,
8857979,253,1,15EME ARRONDISSEMENT,SECOURS A PERSONNE,3755,3428,12,lundi,,,,
627980,254,1,MALAKOFF,SECOURS A PERSONNE,4007,3730,23,lundi,,,,
2587981,255,1,CHATILLON,SECOURS A PERSONNE,3779,3275,17,lundi,,,,
6587980,256,0,8EME ARRONDISSEMENT,INCENDIE,906,5797,19,lundi,,,,
5687981,257,0,5EME ARRONDISSEMENT,SECOURS A PERSONNE,4962,5130,14,lundi,,,,
5537981,258,1,MONTROUGE,SECOURS A PERSONNE,2587,2695,11,lundi,,,,
9457980,259,1,17EME ARRONDISSEMENT,SECOURS A PERSONNE,4005,3704,17,lundi,,,,
9437979,260,1,17EME ARRONDISSEMENT,SECOURS A PERSONNE,4005,4524,2,mardi,,,,
8487979,261,1,VINCENNES,SECOURS A PERSONNE,4066,6428,10,lundi,,,,
9567979,262,1,20EME ARRONDISSEMENT,SECOURS A PERSONNE,4066,4017,8,lundi,,,,
8197979,263,0,20EME ARRONDISSEMENT,Autres,2317,868,22,lundi,,,,
7937980,264,1,12EME ARRONDISSEMENT,SECOURS A PERSONNE,4228,4132,22,lundi,,,,
4757980,265,1,9EME ARRONDISSEMENT,SECOURS A PERSONNE,4045,3632,14,lundi,,,,
2887980,266,1,11EME ARRONDISSEMENT,ACCIDENT,4232,7079,9,lundi,,,,
8157979,267,1,THIAIS,SECOURS A PERSONNE,4207,5355,21,lundi,,,,
667981,268,1,VILLENEUVE-LE-ROI,SECOURS A PERSONNE,4207,4154,3,mardi,,,,
9347980,269,1,SEVRES,SECOURS A PERSONNE,4007,2803,13,lundi,,,,
2367980,270,0,CLAMART,Autres,3779,1430,8,lundi,,,,
1707980,271,1,HAY-LES-ROSES (L'),SECOURS A PERSONNE,2939,4457,22,lundi,,,,
8557979,272,1,BAGNEUX,SECOURS A PERSONNE,2939,3115,12,lundi,,,,
87981,273,0,CRETEIL,Autres,2293,2001,15,lundi,,,,
1427981,274,1,DRANCY,SECOURS A PERSONNE,4703,3154,12,lundi,,,,
2637981,275,0,GENNEVILLIERS,Autres,2318,1649,17,lundi,,,,
6027980,276,0,GENNEVILLIERS,Autres,2956,4365,18,lundi,,,,
8847979,277,1,15EME ARRONDISSEMENT,SECOURS A PERSONNE,4204,4738,12,lundi,,,,
2447980,278,1,SURESNES,SECOURS A PERSONNE,2618,4030,9,lundi,,,,
3297981,279,1,RUEIL-MALMAISON,SECOURS A PERSONNE,2618,5766,2,mardi,,,,
9797979,280,0,15EME ARRONDISSEMENT,INCENDIE,2301,3720,0,mardi,,,,
4567980,281,0,NOGENT-SUR-MARNE,INCENDIE,4537,7499,14,lundi,,,,
27981,282,1,IVRY-SUR-SEINE,SECOURS A PERSONNE,2977,4458,14,lundi,,,,
6157981,283,1,10EME ARRONDISSEMENT,ACCIDENT,5005,2808,0,mardi,,,,
8297979,284,1,18EME ARRONDISSEMENT,SECOURS A PERSONNE,5005,2106,2,mardi,,,,
