"","intervention","id_engagement_engin","victime","commune","categorie","id_engin","heure","jour","duree_engin_hms","duree_engin_min"
"11624",197990,11624,1,"ISSY-LES-MOULINEAUX","SECOURS A PERSONNE",5331,2,"dimanche",01:38:03.0,98.05
"11625",907991,11625,1,"VANVES","SECOURS A PERSONNE",5331,0,"dimanche",00:51:47.0,51.78
"11626",3587989,11626,1,"BOBIGNY","SECOURS A PERSONNE",5337,8,"samedi",01:21:14.0,81.23
"11627",8317991,11627,1,"BLANC-MESNIL (LE)","SECOURS A PERSONNE",5337,5,"dimanche",01:06:05.0,66.08
"11628",7627989,11628,1,"AULNAY-SOUS-BOIS","SECOURS A PERSONNE",5337,20,"samedi",01:16:01.0,76.02
"11629",1747991,11629,1,"6EME ARRONDISSEMENT","SECOURS A PERSONNE",5338,15,"samedi",01:15:31.0,75.52
"11630",7477989,11630,1,"7EME ARRONDISSEMENT","SECOURS A PERSONNE",5338,19,"samedi",01:23:56.0,83.93
"11631",6827990,11631,1,"9EME ARRONDISSEMENT","SECOURS A PERSONNE",5344,23,"samedi",00:54:46.0,54.77
"11632",2117991,11632,1,"18EME ARRONDISSEMENT","SECOURS A PERSONNE",5344,0,"dimanche",00:33:49.0,33.82
"11633",1067990,11633,1,"MONTREUIL","SECOURS A PERSONNE",5348,12,"samedi",01:26:13.0,86.22
"11634",3737989,11634,1,"MONTREUIL","SECOURS A PERSONNE",5348,8,"samedi",02:06:16.0,126.27
"11635",4187989,11635,1,"12EME ARRONDISSEMENT","SECOURS A PERSONNE",5349,10,"samedi",01:04:07.0,64.12
"11636",1617990,11636,0,"12EME ARRONDISSEMENT","Autres",5349,13,"samedi",00:23:43.0,23.72
"11637",2467990,11637,1,"PERREUX-SUR-MARNE (LE)","SECOURS A PERSONNE",5352,17,"samedi",00:52:13.0,52.22
"11638",4327989,11638,1,"NEUILLY-SUR-MARNE","SECOURS A PERSONNE",5352,10,"samedi",00:56:21.0,56.35
"11639",4307989,11639,1,"COLOMBES","SECOURS A PERSONNE",5358,10,"samedi",01:16:52.0,76.87
"11640",5067990,11640,1,"BLANC-MESNIL (LE)","SECOURS A PERSONNE",5359,10,"samedi",01:15:37.0,75.62
"11641",9827989,11641,1,"16EME ARRONDISSEMENT","ACCIDENT",5360,1,"dimanche",01:02:19.0,62.32
"11642",8327989,11642,0,"16EME ARRONDISSEMENT","Autres",5360,21,"samedi",00:14:16.0,14.27
"11643",727991,11643,1,"16EME ARRONDISSEMENT","SECOURS A PERSONNE",5360,19,"samedi",00:48:12.0,48.2
"11644",5917990,11644,0,"14EME ARRONDISSEMENT","Autres",5365,0,"dimanche",00:14:19.0,14.32
"11645",9297989,11645,1,"14EME ARRONDISSEMENT","SECOURS A PERSONNE",5365,23,"samedi",00:46:54.0,46.9
"11646",4287992,11646,1,"13EME ARRONDISSEMENT","SECOURS A PERSONNE",33,12,"dimanche",01:18:42.0,78.7
"11647",4717992,11647,1,"13EME ARRONDISSEMENT","SECOURS A PERSONNE",33,14,"dimanche",01:13:48.0,73.8
"11648",4317991,11648,0,"LIVRY-GARGAN","ACCIDENT",90,23,"dimanche",22:11:54.0,1331.9
"11649",887992,11649,0,"RUEIL-MALMAISON","INCENDIE",255,20,"dimanche",22:12:00.0,1332
"11650",887992,11650,0,"RUEIL-MALMAISON","INCENDIE",255,20,"dimanche",01:03:11.0,63.18
"11651",5367992,11651,0,"VILLEMOMBLE","Autres",496,16,"dimanche",00:29:09.0,29.15
"11652",5547992,11652,0,"7EME ARRONDISSEMENT","SECOURS A PERSONNE",673,16,"dimanche",00:19:35.0,19.58
"11653",8417992,11653,0,"VILLEPINTE","INCENDIE",706,23,"dimanche",00:50:15.0,50.25
"11654",9207991,11654,0,"20EME ARRONDISSEMENT","Autres",1210,14,"dimanche",22:11:59.0,1331.98
"11655",3437992,11655,0,"11EME ARRONDISSEMENT","Autres",1210,9,"dimanche",00:06:24.0,6.4
"11656",377992,11656,1,"15EME ARRONDISSEMENT","SECOURS A PERSONNE",1294,17,"dimanche",00:41:49.0,41.82
"11657",9397991,11657,1,"14EME ARRONDISSEMENT","SECOURS A PERSONNE",1294,18,"dimanche",00:42:41.0,42.68
"11658",6287991,11658,1,"11EME ARRONDISSEMENT","SECOURS A PERSONNE",1442,12,"dimanche",01:07:46.0,67.77
"11659",1477992,11659,0,"14EME ARRONDISSEMENT","SECOURS A PERSONNE",1527,11,"dimanche",00:59:47.5,59.79
"11660",6467992,11660,0,"AUBERVILLIERS","ACCIDENT",1548,19,"dimanche",00:00:48.0,0.8
"11661",6777992,11661,0,"AUBERVILLIERS","SECOURS A PERSONNE",1548,20,"dimanche",00:59:47.5,59.79
"11662",8037992,11662,1,"TREMBLAY-EN-FRANCE","SECOURS A PERSONNE",1570,22,"dimanche",00:45:44.0,45.73
"11663",9917992,11663,0,"16EME ARRONDISSEMENT","Autres",1658,14,"dimanche",05:31:12.0,331.2
"11664",8247992,11664,0,"10EME ARRONDISSEMENT","Autres",1677,23,"dimanche",00:20:02.0,20.03
"11665",3087991,11665,0,"20EME ARRONDISSEMENT","SECOURS A PERSONNE",2284,16,"dimanche",01:05:33.0,65.55
"11666",2687991,11666,0,"20EME ARRONDISSEMENT","Autres",2284,20,"dimanche",00:38:42.0,38.7
"11667",3607992,11667,0,"AUBERVILLIERS","Autres",2287,10,"dimanche",00:14:32.0,14.53
"11668",6217992,11668,0,"RUEIL-MALMAISON","Autres",2288,18,"dimanche",01:09:25.0,69.42
"11669",5057985,11669,0,"AUBERVILLIERS","INCENDIE",2296,16,"jeudi",03:36:12.0,216.2
"11670",3077991,11670,1,"18EME ARRONDISSEMENT","SECOURS A PERSONNE",2303,15,"dimanche",02:02:34.0,122.57
"11671",8727991,11671,0,"VILLENEUVE-LA-GARENNE","ACCIDENT",2318,15,"dimanche",01:26:30.0,86.5
"11672",6917992,11672,1,"GENNEVILLIERS","SECOURS A PERSONNE",2318,20,"dimanche",01:09:01.0,69.02
"11673",6067991,11673,0,"VILLENEUVE-SAINT-GEORGES","SECOURS A PERSONNE",2322,7,"dimanche",00:59:47.5,59.79
"11674",6267991,11674,1,"VILLENEUVE-SAINT-GEORGES","SECOURS A PERSONNE",2322,12,"dimanche",01:01:12.0,61.2
"11675",8417992,11675,0,"VILLEPINTE","INCENDIE",2368,23,"dimanche",00:50:10.0,50.17
"11676",8207992,11676,1,"NOISY-LE-GRAND","ACCIDENT",2403,23,"dimanche",01:05:42.0,65.7
"11677",7877992,11677,1,"15EME ARRONDISSEMENT","SECOURS A PERSONNE",2406,22,"dimanche",01:42:38.0,102.63
"11678",827992,11678,0,"19EME ARRONDISSEMENT","Autres",2424,19,"dimanche",00:45:06.0,45.1
"11679",2267992,11679,0,"7EME ARRONDISSEMENT","SECOURS A PERSONNE",2426,16,"dimanche",00:46:48.0,46.8
"11680",3497992,11680,0,"LE-MESNIL-AMELOT","Autres",2426,9,"dimanche",22:12:03.0,1332.05
"11681",5847991,11681,0,"LEVALLOIS-PERRET","SECOURS A PERSONNE",2470,22,"dimanche",00:01:33.0,1.55
"11682",4327991,11682,1,"15EME ARRONDISSEMENT","SECOURS A PERSONNE",2524,23,"dimanche",00:54:47.0,54.78
"11683",4117992,11683,0,"FRESNES","INCENDIE",2540,11,"dimanche",01:21:39.0,81.65
"11684",7227991,11684,1,"16EME ARRONDISSEMENT","SECOURS A PERSONNE",2551,17,"dimanche",01:25:50.0,85.83
"11685",8877991,11685,1,"15EME ARRONDISSEMENT","SECOURS A PERSONNE",2551,21,"dimanche",01:17:06.0,77.1
"11686",7067992,11686,1,"8EME ARRONDISSEMENT","SECOURS A PERSONNE",2581,20,"dimanche",01:05:36.0,65.6
"11687",6317992,11687,1,"7EME ARRONDISSEMENT","SECOURS A PERSONNE",2581,18,"dimanche",00:58:07.0,58.12
"11688",2397992,11688,0,"12EME ARRONDISSEMENT","SECOURS A PERSONNE",2582,19,"dimanche",22:12:02.0,1332.03
"11689",3187991,11689,1,"13EME ARRONDISSEMENT","SECOURS A PERSONNE",2582,19,"dimanche",00:45:17.0,45.28
"11690",2517991,11690,1,"MONTROUGE","SECOURS A PERSONNE",2587,14,"dimanche",00:44:57.0,44.95
"11691",5507991,11691,1,"GENTILLY","SECOURS A PERSONNE",2587,13,"dimanche",00:55:08.0,55.13
"11692",3387991,11692,0,"17EME ARRONDISSEMENT","Autres",2601,23,"dimanche",00:28:00.0,28
"11693",5737992,11693,0,"RUEIL-MALMAISON","Autres",2618,16,"dimanche",01:11:05.0,71.08
"11694",7467992,11694,1,"RUEIL-MALMAISON","SECOURS A PERSONNE",2618,21,"dimanche",01:15:37.0,75.62
"11695",9987992,11695,1,"SAINT-CLOUD","SECOURS A PERSONNE",2935,16,"dimanche",01:04:13.0,64.22
"11696",107993,11696,1,"BOULOGNE-BILLANCOURT","SECOURS A PERSONNE",2935,20,"dimanche",00:26:41.0,26.68
"11697",8537991,11697,1,"DRANCY","SECOURS A PERSONNE",2969,11,"dimanche",01:03:05.0,63.08
"11698",6917991,11698,1,"DRANCY","SECOURS A PERSONNE",2969,10,"dimanche",00:52:09.0,52.15
